05:15:165641 | CLIENT | SENT | DATA | 0 | CLIENT | SERVER |
05:15:165754 | CLIENT | SENT | DATA | 100 | CLIENT | SERVER |
05:15:165857 | CLIENT | RCVD | ACK | 0 | SERVER | CLIENT |
05:15:165991 | CLIENT | SENT | DATA | 200 | CLIENT | SERVER |
05:15:166167 | CLIENT | RCVD | ACK | 100 | SERVER | CLIENT |
05:15:166317 | CLIENT | SENT | DATA | 300 | CLIENT | SERVER |
05:15:166434 | CLIENT | RCVD | ACK | 200 | SERVER | CLIENT |
05:15:166587 | CLIENT | SENT | DATA | 400 | CLIENT | SERVER |
05:15:166603 | CLIENT | RCVD | ACK | 300 | SERVER | CLIENT |
05:15:166725 | CLIENT | SENT | DATA | 500 | CLIENT | SERVER |
05:15:166777 | CLIENT | RCVD | ACK | 400 | SERVER | CLIENT |
05:15:166903 | CLIENT | RCVD | ACK | 500 | SERVER | CLIENT |
05:15:166916 | CLIENT | SENT | DATA | 600 | CLIENT | SERVER |
05:15:166998 | CLIENT | SENT | DATA | 700 | CLIENT | SERVER |
05:15:167125 | CLIENT | RCVD | ACK | 600 | SERVER | CLIENT |
05:15:167231 | CLIENT | SENT | DATA | 800 | CLIENT | SERVER |
05:15:167285 | CLIENT | RCVD | ACK | 700 | SERVER | CLIENT |
05:15:167393 | CLIENT | SENT | DATA | 900 | CLIENT | SERVER |
05:15:167492 | CLIENT | RCVD | ACK | 800 | SERVER | CLIENT |
05:15:167601 | CLIENT | SENT | DATA | 1000 | CLIENT | SERVER |
05:15:167690 | CLIENT | RCVD | ACK | 900 | SERVER | CLIENT |
05:15:167834 | CLIENT | SENT | DATA | 1100 | CLIENT | SERVER |
05:15:167855 | CLIENT | RCVD | ACK | 1000 | SERVER | CLIENT |
05:15:167979 | CLIENT | SENT | DATA | 1200 | CLIENT | SERVER |
05:15:168027 | CLIENT | RCVD | ACK | 1100 | SERVER | CLIENT |
05:15:168140 | CLIENT | SENT | DATA | 1300 | CLIENT | SERVER |
05:15:168188 | CLIENT | RCVD | ACK | 1200 | SERVER | CLIENT |
05:15:168291 | CLIENT | SENT | DATA | 1400 | CLIENT | SERVER |
05:15:168332 | CLIENT | RCVD | ACK | 1300 | SERVER | CLIENT |
05:15:168436 | CLIENT | SENT | DATA | 1500 | CLIENT | SERVER |
05:15:168527 | CLIENT | RCVD | ACK | 1400 | SERVER | CLIENT |
05:15:168728 | CLIENT | SENT | DATA | 1600 | CLIENT | SERVER |
05:15:168821 | CLIENT | RCVD | ACK | 1500 | SERVER | CLIENT |
