05:15:165645 | SERVER | RCVD | DATA | 0 | CLIENT | SERVER |
05:15:165857 | SERVER | SENT | ACK | 0 | SERVER | CLIENT |
05:15:165991 | SERVER | RCVD | DATA | 100 | CLIENT | SERVER |
05:15:166135 | SERVER | SENT | ACK | 100 | SERVER | CLIENT |
05:15:166220 | SERVER | RCVD | DATA | 200 | CLIENT | SERVER |
05:15:166354 | SERVER | SENT | ACK | 200 | SERVER | CLIENT |
05:15:166445 | SERVER | RCVD | DATA | 300 | CLIENT | SERVER |
05:15:166556 | SERVER | SENT | ACK | 300 | SERVER | CLIENT |
05:15:166632 | SERVER | RCVD | DATA | 400 | CLIENT | SERVER |
05:15:166751 | SERVER | SENT | ACK | 400 | SERVER | CLIENT |
05:15:166811 | SERVER | RCVD | DATA | 500 | CLIENT | SERVER |
05:15:166901 | SERVER | SENT | ACK | 500 | SERVER | CLIENT |
05:15:166977 | SERVER | RCVD | DATA | 600 | CLIENT | SERVER |
05:15:167099 | SERVER | SENT | ACK | 600 | SERVER | CLIENT |
05:15:167175 | SERVER | RCVD | DATA | 700 | CLIENT | SERVER |
05:15:167285 | SERVER | SENT | ACK | 700 | SERVER | CLIENT |
05:15:167364 | SERVER | RCVD | DATA | 800 | CLIENT | SERVER |
05:15:167474 | SERVER | SENT | ACK | 800 | SERVER | CLIENT |
05:15:167548 | SERVER | RCVD | DATA | 900 | CLIENT | SERVER |
05:15:167655 | SERVER | SENT | ACK | 900 | SERVER | CLIENT |
05:15:167715 | SERVER | RCVD | DATA | 1000 | CLIENT | SERVER |
05:15:167826 | SERVER | SENT | ACK | 1000 | SERVER | CLIENT |
05:15:167901 | SERVER | RCVD | DATA | 1100 | CLIENT | SERVER |
05:15:168006 | SERVER | SENT | ACK | 1100 | SERVER | CLIENT |
05:15:168062 | SERVER | RCVD | DATA | 1200 | CLIENT | SERVER |
05:15:168169 | SERVER | SENT | ACK | 1200 | SERVER | CLIENT |
05:15:168227 | SERVER | RCVD | DATA | 1300 | CLIENT | SERVER |
05:15:168328 | SERVER | SENT | ACK | 1300 | SERVER | CLIENT |
05:15:168408 | SERVER | RCVD | DATA | 1400 | CLIENT | SERVER |
05:15:168527 | SERVER | SENT | ACK | 1400 | SERVER | CLIENT |
05:15:168675 | SERVER | RCVD | DATA | 1500 | CLIENT | SERVER |
05:15:168821 | SERVER | SENT | ACK | 1500 | SERVER | CLIENT |
05:15:168893 | SERVER | RCVD | DATA | 1600 | CLIENT | SERVER |
05:15:169010 | SERVER | SENT | ACK | 1600 | SERVER | CLIENT |
05:15:169086 | SERVER | RCVD | DATA | 1700 | CLIENT | SERVER |
05:15:169195 | SERVER | SENT | ACK | 1700 | SERVER | CLIENT |
05:15:169265 | SERVER | RCVD | DATA | 1800 | CLIENT | SERVER |
05:15:169378 | SERVER | SENT | ACK | 1800 | SERVER | CLIENT |
05:15:169435 | SERVER | RCVD | DATA | 1900 | CLIENT | SERVER |
05:15:169534 | SERVER | SENT | ACK | 1900 | SERVER | CLIENT |
05:15:169593 | SERVER | RCVD | DATA | 2000 | CLIENT | SERVER |
05:15:169711 | SERVER | SENT | ACK | 2000 | SERVER | CLIENT |
05:15:169788 | SERVER | RCVD | DATA | 2100 | CLIENT | SERVER |
05:15:169912 | SERVER | SENT | ACK | 2100 | SERVER | CLIENT |
05:15:169961 | SERVER | RCVD | DATA | 2200 | CLIENT | SERVER |
05:15:170069 | SERVER | SENT | ACK | 2200 | SERVER | CLIENT |
05:15:170130 | SERVER | RCVD | DATA | 2300 | CLIENT | SERVER |
05:15:170242 | SERVER | SENT | ACK | 2300 | SERVER | CLIENT |
05:15:170308 | SERVER | RCVD | DATA | 2400 | CLIENT | SERVER |
05:15:170408 | SERVER | SENT | ACK | 2400 | SERVER | CLIENT |
05:15:170475 | SERVER | RCVD | DATA | 2500 | CLIENT | SERVER |
05:15:170564 | SERVER | SENT | ACK | 2500 | SERVER | CLIENT |
05:15:170623 | SERVER | RCVD | DATA | 2600 | CLIENT | SERVER |
05:15:170711 | SERVER | SENT | ACK | 2600 | SERVER | CLIENT |
05:15:170779 | SERVER | RCVD | DATA | 2700 | CLIENT | SERVER |
05:15:170918 | SERVER | SENT | ACK | 2700 | SERVER | CLIENT |
05:15:170979 | SERVER | RCVD | DATA | 2800 | CLIENT | SERVER |
05:15:171082 | SERVER | SENT | ACK | 2800 | SERVER | CLIENT |
05:15:171148 | SERVER | RCVD | DATA | 2900 | CLIENT | SERVER |
05:15:171237 | SERVER | SENT | ACK | 2900 | SERVER | CLIENT |
05:15:171299 | SERVER | RCVD | DATA | 3000 | CLIENT | SERVER |
05:15:171401 | SERVER | SENT | ACK | 3000 | SERVER | CLIENT |
05:15:171441 | SERVER | REJECTED | DATA | 3100 | CLIENT | SERVER |
05:15:171556 | SERVER | RCVD | DATA | 3200 | CLIENT | SERVER |
05:15:171681 | SERVER | SENT | ACK | 3200 | SERVER | CLIENT |
05:15:171824 | SERVER | RCVD | DATA | 3300 | CLIENT | SERVER |
05:15:171962 | SERVER | SENT | ACK | 3300 | SERVER | CLIENT |
05:15:172101 | SERVER | RCVD | DATA | 3400 | CLIENT | SERVER |
05:15:172212 | SERVER | SENT | ACK | 3400 | SERVER | CLIENT |
05:15:172366 | SERVER | RCVD | DATA | 3500 | CLIENT | SERVER |
05:15:172466 | SERVER | SENT | ACK | 3500 | SERVER | CLIENT |
05:15:172700 | SERVER | RCVD | DATA | 3600 | CLIENT | SERVER |
05:15:172831 | SERVER | SENT | ACK | 3600 | SERVER | CLIENT |
05:15:172959 | SERVER | RCVD | DATA | 3700 | CLIENT | SERVER |
05:15:173071 | SERVER | SENT | ACK | 3700 | SERVER | CLIENT |
05:15:173186 | SERVER | RCVD | DATA | 3800 | CLIENT | SERVER |
05:15:173298 | SERVER | SENT | ACK | 3800 | SERVER | CLIENT |
05:15:173447 | SERVER | RCVD | DATA | 3900 | CLIENT | SERVER |
05:15:173575 | SERVER | SENT | ACK | 3900 | SERVER | CLIENT |
05:15:173717 | SERVER | RCVD | DATA | 4000 | CLIENT | SERVER |
05:15:173843 | SERVER | SENT | ACK | 4000 | SERVER | CLIENT |
05:15:173958 | SERVER | RCVD | DATA | 4100 | CLIENT | SERVER |
05:15:174043 | SERVER | SENT | ACK | 4100 | SERVER | CLIENT |
05:15:174155 | SERVER | RCVD | DATA | 4200 | CLIENT | SERVER |
05:15:174243 | SERVER | SENT | ACK | 4200 | SERVER | CLIENT |
05:15:174432 | SERVER | RCVD | DATA | 4300 | CLIENT | SERVER |
05:15:174528 | SERVER | SENT | ACK | 4300 | SERVER | CLIENT |
05:15:174633 | SERVER | RCVD | DATA | 4400 | CLIENT | SERVER |
05:15:174744 | SERVER | SENT | ACK | 4400 | SERVER | CLIENT |
05:15:174931 | SERVER | RCVD | DATA | 4500 | CLIENT | SERVER |
05:15:175026 | SERVER | SENT | ACK | 4500 | SERVER | CLIENT |
05:15:175149 | SERVER | RCVD | DATA | 4600 | CLIENT | SERVER |
05:15:175237 | SERVER | SENT | ACK | 4600 | SERVER | CLIENT |
05:15:175358 | SERVER | RCVD | DATA | 4700 | CLIENT | SERVER |
05:15:175450 | SERVER | SENT | ACK | 4700 | SERVER | CLIENT |
05:15:175572 | SERVER | RCVD | DATA | 4800 | CLIENT | SERVER |
05:15:175654 | SERVER | SENT | ACK | 4800 | SERVER | CLIENT |
05:15:175788 | SERVER | RCVD | DATA | 4900 | CLIENT | SERVER |
05:15:175886 | SERVER | SENT | ACK | 4900 | SERVER | CLIENT |
05:15:175990 | SERVER | RCVD | DATA | 5000 | CLIENT | SERVER |
05:15:176094 | SERVER | SENT | ACK | 5000 | SERVER | CLIENT |
05:15:176232 | SERVER | RCVD | DATA | 5100 | CLIENT | SERVER |
05:15:176345 | SERVER | SENT | ACK | 5100 | SERVER | CLIENT |
05:15:176457 | SERVER | RCVD | DATA | 5200 | CLIENT | SERVER |
05:15:176560 | SERVER | SENT | ACK | 5200 | SERVER | CLIENT |
05:15:176766 | SERVER | RCVD | DATA | 5300 | CLIENT | SERVER |
05:15:176874 | SERVER | SENT | ACK | 5300 | SERVER | CLIENT |
05:15:176988 | SERVER | RCVD | DATA | 5400 | CLIENT | SERVER |
05:15:177099 | SERVER | SENT | ACK | 5400 | SERVER | CLIENT |
05:15:177280 | SERVER | RCVD | DATA | 5500 | CLIENT | SERVER |
05:15:177400 | SERVER | SENT | ACK | 5500 | SERVER | CLIENT |
05:15:177575 | SERVER | RCVD | DATA | 5600 | CLIENT | SERVER |
05:15:177671 | SERVER | SENT | ACK | 5600 | SERVER | CLIENT |
05:15:177899 | SERVER | RCVD | DATA | 5700 | CLIENT | SERVER |
05:15:177991 | SERVER | SENT | ACK | 5700 | SERVER | CLIENT |
05:15:178109 | SERVER | RCVD | DATA | 5800 | CLIENT | SERVER |
05:15:178207 | SERVER | SENT | ACK | 5800 | SERVER | CLIENT |
05:15:178308 | SERVER | RCVD | DATA | 5900 | CLIENT | SERVER |
05:15:178400 | SERVER | SENT | ACK | 5900 | SERVER | CLIENT |
05:15:178485 | SERVER | REJECTED | DATA | 6000 | CLIENT | SERVER |
05:15:172950 | SERVER | RCVD | DATA | 3100 | CLIENT | SERVER |
05:15:173609 | SERVER | SENT | ACK | 3100 | SERVER | CLIENT |
05:15:173858 | SERVER | RCVD | DATA | 6100 | CLIENT | SERVER |
05:15:173971 | SERVER | SENT | ACK | 6100 | SERVER | CLIENT |
05:15:174124 | SERVER | RCVD | DATA | 6200 | CLIENT | SERVER |
05:15:174197 | SERVER | SENT | ACK | 6200 | SERVER | CLIENT |
05:15:174391 | SERVER | RCVD | DATA | 6300 | CLIENT | SERVER |
05:15:174535 | SERVER | SENT | ACK | 6300 | SERVER | CLIENT |
05:15:174635 | SERVER | REJECTED | DATA | 6400 | CLIENT | SERVER |
05:15:180575 | SERVER | RCVD | DATA | 6000 | CLIENT | SERVER |
05:15:180659 | SERVER | SENT | ACK | 6000 | SERVER | CLIENT |
05:15:180703 | SERVER | RCVD | DATA | 6500 | CLIENT | SERVER |
05:15:180741 | SERVER | SENT | ACK | 6500 | SERVER | CLIENT |
05:15:180784 | SERVER | RCVD | DATA | 6600 | CLIENT | SERVER |
05:15:176719 | SERVER | RCVD | DATA | 6400 | CLIENT | SERVER |
05:15:176802 | SERVER | SENT | ACK | 6400 | SERVER | CLIENT |
05:15:176879 | SERVER | RCVD | DATA | 6700 | CLIENT | SERVER |
05:15:182889 | SERVER | RCVD | DATA | 6600 | CLIENT | SERVER |
05:15:182950 | SERVER | SENT | ACK | 6600 | SERVER | CLIENT |
05:15:183007 | SERVER | RCVD | DATA | 6800 | CLIENT | SERVER |
05:15:179005 | SERVER | RCVD | DATA | 6700 | CLIENT | SERVER |
05:15:179077 | SERVER | SENT | ACK | 6700 | SERVER | CLIENT |
05:15:179140 | SERVER | RCVD | DATA | 6900 | CLIENT | SERVER |
05:15:184679 | SERVER | RCVD | DATA | 6800 | CLIENT | SERVER |
05:15:184736 | SERVER | SENT | ACK | 6800 | SERVER | CLIENT |
05:15:184779 | SERVER | RCVD | DATA | 7000 | CLIENT | SERVER |
05:15:180713 | SERVER | RCVD | DATA | 6900 | CLIENT | SERVER |
05:15:180800 | SERVER | SENT | ACK | 6900 | SERVER | CLIENT |
05:15:180873 | SERVER | RCVD | DATA | 7100 | CLIENT | SERVER |
05:15:186862 | SERVER | RCVD | DATA | 7000 | CLIENT | SERVER |
05:15:186944 | SERVER | SENT | ACK | 7000 | SERVER | CLIENT |
05:15:182954 | SERVER | RCVD | DATA | 7100 | CLIENT | SERVER |
05:15:183025 | SERVER | SENT | ACK | 7100 | SERVER | CLIENT |
