05:08:921955 | CLIENT | SENT | DATA | 0 | CLIENT | RELAY1 |
05:08:922118 | CLIENT | SENT | DATA | 100 | CLIENT | RELAY2 |
05:08:922192 | CLIENT | SENT | DATA | 200 | CLIENT | RELAY1 |
05:08:922259 | CLIENT | SENT | DATA | 300 | CLIENT | RELAY2 |
05:08:712174 | CLIENT | RCVD | ACK | 0 | RELAY1 | CLIENT |
05:08:712351 | CLIENT | RCVD | ACK | 100 | RELAY2 | CLIENT |
05:08:310003 | CLIENT | RCVD | ACK | 200 | RELAY1 | CLIENT |
05:08:310082 | CLIENT | RCVD | ACK | 300 | RELAY2 | CLIENT |
05:08:310174 | CLIENT | SENT | DATA | 400 | CLIENT | RELAY1 |
05:08:310310 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY2 |
05:08:310397 | CLIENT | SENT | DATA | 600 | CLIENT | RELAY1 |
05:08:310460 | CLIENT | SENT | DATA | 700 | CLIENT | RELAY2 |
05:08:706061 | CLIENT | RCVD | ACK | 400 | RELAY1 | CLIENT |
05:08:706464 | CLIENT | RCVD | ACK | 500 | RELAY2 | CLIENT |
05:08:243061 | CLIENT | RCVD | ACK | 600 | RELAY1 | CLIENT |
05:08:243472 | CLIENT | RCVD | ACK | 700 | RELAY2 | CLIENT |
05:08:243583 | CLIENT | SENT | DATA | 800 | CLIENT | RELAY1 |
05:08:243669 | CLIENT | SENT | DATA | 900 | CLIENT | RELAY2 |
05:08:243716 | CLIENT | SENT | DATA | 1000 | CLIENT | RELAY1 |
05:08:243770 | CLIENT | SENT | DATA | 1100 | CLIENT | RELAY2 |
05:08:352337 | CLIENT | RCVD | ACK | 800 | RELAY1 | CLIENT |
05:08:352667 | CLIENT | RCVD | ACK | 900 | RELAY2 | CLIENT |
05:08:611255 | CLIENT | RCVD | ACK | 1000 | RELAY1 | CLIENT |
05:08:611343 | CLIENT | RCVD | ACK | 1100 | RELAY2 | CLIENT |
05:08:611429 | CLIENT | SENT | DATA | 1200 | CLIENT | RELAY1 |
05:08:611529 | CLIENT | SENT | DATA | 1300 | CLIENT | RELAY2 |
05:08:611593 | CLIENT | SENT | DATA | 1400 | CLIENT | RELAY1 |
05:08:611639 | CLIENT | SENT | DATA | 1500 | CLIENT | RELAY2 |
05:08:638700 | CLIENT | RCVD | ACK | 1200 | RELAY1 | CLIENT |
05:08:638725 | CLIENT | RCVD | ACK | 1300 | RELAY2 | CLIENT |
05:08:471317 | CLIENT | RCVD | ACK | 1400 | RELAY1 | CLIENT |
05:08:471344 | CLIENT | RCVD | ACK | 1500 | RELAY2 | CLIENT |
05:08:471380 | CLIENT | SENT | DATA | 1600 | CLIENT | RELAY1 |
05:08:471399 | CLIENT | SENT | DATA | 1700 | CLIENT | RELAY2 |
05:08:471412 | CLIENT | SENT | DATA | 1800 | CLIENT | RELAY1 |
05:08:471425 | CLIENT | SENT | DATA | 1900 | CLIENT | RELAY2 |
05:08:906608 | CLIENT | RCVD | ACK | 1600 | RELAY1 | CLIENT |
05:08:906802 | CLIENT | RCVD | ACK | 1700 | RELAY2 | CLIENT |
05:08:121213 | CLIENT | RCVD | ACK | 1800 | RELAY1 | CLIENT |
05:08:121306 | CLIENT | RCVD | ACK | 1900 | RELAY2 | CLIENT |
