05:08:922237 | RELAY2 | RCVD | DATA | 100 | CLIENT | RELAY2 |
05:08:711298 | RELAY2 | SENT | DATA | 100 | RELAY2 | SERVER |
05:08:711967 | RELAY2 | RCVD | ACK | 100 | SERVER | RELAY2 |
05:08:712351 | RELAY2 | SENT | ACK | 100 | RELAY2 | CLIENT |
05:08:712477 | RELAY2 | RCVD | DATA | 300 | CLIENT | RELAY2 |
05:08:309551 | RELAY2 | SENT | DATA | 300 | RELAY2 | SERVER |
05:08:309919 | RELAY2 | RCVD | ACK | 300 | SERVER | RELAY2 |
05:08:310027 | RELAY2 | SENT | ACK | 300 | RELAY2 | CLIENT |
05:08:310324 | RELAY2 | RCVD | DATA | 500 | CLIENT | RELAY2 |
05:08:705673 | RELAY2 | SENT | DATA | 500 | RELAY2 | SERVER |
05:08:706015 | RELAY2 | RCVD | ACK | 500 | SERVER | RELAY2 |
05:08:706166 | RELAY2 | SENT | ACK | 500 | RELAY2 | CLIENT |
05:08:706447 | RELAY2 | RCVD | DATA | 700 | CLIENT | RELAY2 |
05:08:243127 | RELAY2 | SENT | DATA | 700 | RELAY2 | SERVER |
05:08:243359 | RELAY2 | RCVD | ACK | 700 | SERVER | RELAY2 |
05:08:243441 | RELAY2 | SENT | ACK | 700 | RELAY2 | CLIENT |
05:08:243676 | RELAY2 | RCVD | DATA | 900 | CLIENT | RELAY2 |
05:08:351824 | RELAY2 | SENT | DATA | 900 | RELAY2 | SERVER |
05:08:352191 | RELAY2 | RCVD | ACK | 900 | SERVER | RELAY2 |
05:08:352296 | RELAY2 | SENT | ACK | 900 | RELAY2 | CLIENT |
05:08:352651 | RELAY2 | RCVD | DATA | 1100 | CLIENT | RELAY2 |
05:08:610698 | RELAY2 | SENT | DATA | 1100 | RELAY2 | SERVER |
05:08:611044 | RELAY2 | RCVD | ACK | 1100 | SERVER | RELAY2 |
05:08:611132 | RELAY2 | SENT | ACK | 1100 | RELAY2 | CLIENT |
05:08:611575 | RELAY2 | RCVD | DATA | 1300 | CLIENT | RELAY2 |
05:08:638545 | RELAY2 | SENT | DATA | 1300 | RELAY2 | SERVER |
05:08:638667 | RELAY2 | RCVD | ACK | 1300 | SERVER | RELAY2 |
05:08:638712 | RELAY2 | SENT | ACK | 1300 | RELAY2 | CLIENT |
05:08:638725 | RELAY2 | RCVD | DATA | 1500 | CLIENT | RELAY2 |
05:08:471208 | RELAY2 | SENT | DATA | 1500 | RELAY2 | SERVER |
05:08:471309 | RELAY2 | RCVD | ACK | 1500 | SERVER | RELAY2 |
05:08:471333 | RELAY2 | SENT | ACK | 1500 | RELAY2 | CLIENT |
05:08:471403 | RELAY2 | RCVD | DATA | 1700 | CLIENT | RELAY2 |
05:08:906205 | RELAY2 | SENT | DATA | 1700 | RELAY2 | SERVER |
05:08:906505 | RELAY2 | RCVD | ACK | 1700 | SERVER | RELAY2 |
05:08:906621 | RELAY2 | SENT | ACK | 1700 | RELAY2 | CLIENT |
05:08:906794 | RELAY2 | RCVD | DATA | 1900 | CLIENT | RELAY2 |
05:08:120936 | RELAY2 | SENT | DATA | 1900 | RELAY2 | SERVER |
05:08:121207 | RELAY2 | RCVD | ACK | 1900 | SERVER | RELAY2 |
05:08:121276 | RELAY2 | SENT | ACK | 1900 | RELAY2 | CLIENT |
05:08:121521 | RELAY2 | RCVD | DATA | 2100 | CLIENT | RELAY2 |
05:08:607497 | RELAY2 | SENT | DATA | 2100 | RELAY2 | SERVER |
05:08:607718 | RELAY2 | RCVD | ACK | 2100 | SERVER | RELAY2 |
05:08:607781 | RELAY2 | SENT | ACK | 2100 | RELAY2 | CLIENT |
05:08:607816 | RELAY2 | RCVD | DATA | 2300 | CLIENT | RELAY2 |
05:08:216314 | RELAY2 | SENT | DATA | 2300 | RELAY2 | SERVER |
05:08:216415 | RELAY2 | RCVD | ACK | 2300 | SERVER | RELAY2 |
05:08:216443 | RELAY2 | SENT | ACK | 2300 | RELAY2 | CLIENT |
05:08:216521 | RELAY2 | RCVD | DATA | 2500 | CLIENT | RELAY2 |
05:08:018596 | RELAY2 | SENT | DATA | 2500 | RELAY2 | SERVER |
05:08:018874 | RELAY2 | RCVD | ACK | 2500 | SERVER | RELAY2 |
05:08:019061 | RELAY2 | SENT | ACK | 2500 | RELAY2 | CLIENT |
05:08:019133 | RELAY2 | RCVD | DATA | 2700 | CLIENT | RELAY2 |
05:08:236919 | RELAY2 | SENT | DATA | 2700 | RELAY2 | SERVER |
05:08:237056 | RELAY2 | RCVD | ACK | 2700 | SERVER | RELAY2 |
05:08:237150 | RELAY2 | SENT | ACK | 2700 | RELAY2 | CLIENT |
05:08:237465 | RELAY2 | RCVD | DATA | 2900 | CLIENT | RELAY2 |
05:08:674181 | RELAY2 | SENT | DATA | 2900 | RELAY2 | SERVER |
05:08:674299 | RELAY2 | RCVD | ACK | 2900 | SERVER | RELAY2 |
05:08:674384 | RELAY2 | SENT | ACK | 2900 | RELAY2 | CLIENT |
05:08:674404 | RELAY2 | RCVD | DATA | 3100 | CLIENT | RELAY2 |
05:08:352790 | RELAY2 | SENT | DATA | 3100 | RELAY2 | SERVER |
05:08:353031 | RELAY2 | RCVD | ACK | 3100 | SERVER | RELAY2 |
05:08:353110 | RELAY2 | SENT | ACK | 3100 | RELAY2 | CLIENT |
05:08:353610 | RELAY2 | RCVD | DATA | 3300 | CLIENT | RELAY2 |
05:08:945915 | RELAY2 | SENT | DATA | 3300 | RELAY2 | SERVER |
05:08:946001 | RELAY2 | RCVD | ACK | 3300 | SERVER | RELAY2 |
05:08:946263 | RELAY2 | SENT | ACK | 3300 | RELAY2 | CLIENT |
05:08:946299 | RELAY2 | RCVD | DATA | 3500 | CLIENT | RELAY2 |
05:08:995336 | RELAY2 | SENT | DATA | 3500 | RELAY2 | SERVER |
05:08:995804 | RELAY2 | RCVD | ACK | 3500 | SERVER | RELAY2 |
05:08:995902 | RELAY2 | SENT | ACK | 3500 | RELAY2 | CLIENT |
05:08:996861 | RELAY2 | RCVD | DATA | 3700 | CLIENT | RELAY2 |
05:08:942637 | RELAY2 | SENT | DATA | 3700 | RELAY2 | SERVER |
05:08:943167 | RELAY2 | RCVD | ACK | 3700 | SERVER | RELAY2 |
