05:08:711448 | SERVER | RCVD | DATA | 0 | RELAY1 | SERVER |
05:08:711707 | SERVER | SENT | ACK | 0 | SERVER | RELAY1 |
05:08:711780 | SERVER | RCVD | DATA | 100 | RELAY2 | SERVER |
05:08:711909 | SERVER | SENT | ACK | 100 | SERVER | RELAY2 |
05:08:309516 | SERVER | RCVD | DATA | 200 | RELAY1 | SERVER |
05:08:309664 | SERVER | SENT | ACK | 200 | SERVER | RELAY1 |
05:08:309719 | SERVER | RCVD | DATA | 300 | RELAY2 | SERVER |
05:08:309859 | SERVER | SENT | ACK | 300 | SERVER | RELAY2 |
05:08:705626 | SERVER | RCVD | DATA | 400 | RELAY1 | SERVER |
05:08:705792 | SERVER | SENT | ACK | 400 | SERVER | RELAY1 |
05:08:705865 | SERVER | RCVD | DATA | 500 | RELAY2 | SERVER |
05:08:705971 | SERVER | SENT | ACK | 500 | SERVER | RELAY2 |
05:08:242793 | SERVER | RCVD | DATA | 600 | RELAY1 | SERVER |
05:08:242910 | SERVER | SENT | ACK | 600 | SERVER | RELAY1 |
05:08:243127 | SERVER | RCVD | DATA | 700 | RELAY2 | SERVER |
05:08:243340 | SERVER | SENT | ACK | 700 | SERVER | RELAY2 |
05:08:351917 | SERVER | RCVD | DATA | 800 | RELAY1 | SERVER |
05:08:352038 | SERVER | SENT | ACK | 800 | SERVER | RELAY1 |
05:08:352082 | SERVER | RCVD | DATA | 900 | RELAY2 | SERVER |
05:08:352145 | SERVER | SENT | ACK | 900 | SERVER | RELAY2 |
05:08:610753 | SERVER | RCVD | DATA | 1000 | RELAY1 | SERVER |
05:08:610888 | SERVER | SENT | ACK | 1000 | SERVER | RELAY1 |
05:08:610930 | SERVER | RCVD | DATA | 1100 | RELAY2 | SERVER |
05:08:611001 | SERVER | SENT | ACK | 1100 | SERVER | RELAY2 |
05:08:638505 | SERVER | RCVD | DATA | 1200 | RELAY1 | SERVER |
05:08:638612 | SERVER | SENT | ACK | 1200 | SERVER | RELAY1 |
05:08:638629 | SERVER | RCVD | DATA | 1300 | RELAY2 | SERVER |
05:08:638656 | SERVER | SENT | ACK | 1300 | SERVER | RELAY2 |
05:08:471196 | SERVER | RCVD | DATA | 1400 | RELAY1 | SERVER |
05:08:471228 | SERVER | SENT | ACK | 1400 | SERVER | RELAY1 |
05:08:471253 | SERVER | RCVD | DATA | 1500 | RELAY2 | SERVER |
05:08:471270 | SERVER | SENT | ACK | 1500 | SERVER | RELAY2 |
05:08:906253 | SERVER | RCVD | DATA | 1600 | RELAY1 | SERVER |
05:08:906364 | SERVER | SENT | ACK | 1600 | SERVER | RELAY1 |
05:08:906390 | SERVER | RCVD | DATA | 1700 | RELAY2 | SERVER |
05:08:906461 | SERVER | SENT | ACK | 1700 | SERVER | RELAY2 |
05:08:120896 | SERVER | RCVD | DATA | 1800 | RELAY1 | SERVER |
05:08:121065 | SERVER | SENT | ACK | 1800 | SERVER | RELAY1 |
05:08:121108 | SERVER | RCVD | DATA | 1900 | RELAY2 | SERVER |
05:08:121187 | SERVER | SENT | ACK | 1900 | SERVER | RELAY2 |
05:08:607473 | SERVER | RCVD | DATA | 2000 | RELAY1 | SERVER |
05:08:607600 | SERVER | SENT | ACK | 2000 | SERVER | RELAY1 |
05:08:607641 | SERVER | RCVD | DATA | 2100 | RELAY2 | SERVER |
05:08:607693 | SERVER | SENT | ACK | 2100 | SERVER | RELAY2 |
05:08:216275 | SERVER | RCVD | DATA | 2200 | RELAY1 | SERVER |
05:08:216325 | SERVER | SENT | ACK | 2200 | SERVER | RELAY1 |
05:08:216338 | SERVER | RCVD | DATA | 2300 | RELAY2 | SERVER |
05:08:216385 | SERVER | SENT | ACK | 2300 | SERVER | RELAY2 |
05:08:018617 | SERVER | RCVD | DATA | 2400 | RELAY1 | SERVER |
05:08:018715 | SERVER | SENT | ACK | 2400 | SERVER | RELAY1 |
05:08:018760 | SERVER | RCVD | DATA | 2500 | RELAY2 | SERVER |
05:08:018841 | SERVER | SENT | ACK | 2500 | SERVER | RELAY2 |
05:08:236824 | SERVER | RCVD | DATA | 2600 | RELAY1 | SERVER |
05:08:236940 | SERVER | SENT | ACK | 2600 | SERVER | RELAY1 |
05:08:236973 | SERVER | RCVD | DATA | 2700 | RELAY2 | SERVER |
05:08:237025 | SERVER | SENT | ACK | 2700 | SERVER | RELAY2 |
05:08:674020 | SERVER | RCVD | DATA | 2800 | RELAY1 | SERVER |
05:08:674070 | SERVER | SENT | ACK | 2800 | SERVER | RELAY1 |
05:08:674184 | SERVER | RCVD | DATA | 2900 | RELAY2 | SERVER |
05:08:674237 | SERVER | SENT | ACK | 2900 | SERVER | RELAY2 |
05:08:352551 | SERVER | RCVD | DATA | 3000 | RELAY1 | SERVER |
05:08:352789 | SERVER | SENT | ACK | 3000 | SERVER | RELAY1 |
05:08:352861 | SERVER | RCVD | DATA | 3100 | RELAY2 | SERVER |
05:08:353022 | SERVER | SENT | ACK | 3100 | SERVER | RELAY2 |
05:08:945697 | SERVER | RCVD | DATA | 3200 | RELAY1 | SERVER |
